 No           X        Y      Node  (Cell)        Station Name
  1   -85.66666    30.15167     220  27.49  '8729108 Panama City, FL     '
  2   -86.49333    30.50333   70726   2.29  '8729501 Valparaiso, FL      '
  3   -87.21167    30.40333   87360   7.66  '8729840 Pensacola, FL       '
  4   -87.42834    30.38667   51168   4.41  '8729941 Blue Angles PK, FL  '
  5   -87.68333    30.27833   52831   5.50  '8731439 Gulf Shores ICWW, AL'
  6   -87.82500    30.41667  256063   2.01  '8732828 Weeks Bay, AL       '
  7   -88.07500    30.25000  125045   2.28  '8735180 Dauphin Is Hydro, AL'
  8   -88.05833    30.64833  269496   5.22  '8736897 CG Mobile, AL       '
  9   -88.04333    30.70833  289141  11.22  '8737048 Mobile St Dock, AL  '
 10   -88.50500    30.34833  182283   11.8  '8741041 Pascagoula Dock, MS '
 11   -88.56167    30.36667  202635   9.56  '8741533 Pascagoula NOAA, MS '
 12   -89.08167    30.36000  209363   4.31  '8745557 Gulfport Harbor, MS '
 13   -89.32500    30.32500  200837   1.22  '8747437 Bay Waveland, MS    '
 14   -89.67167    29.86667  253180    2.2  '8761305 Shell Beach, LA     '
 15   -89.40667    28.93167   62141   3.41  '8760922 Pilots Sta, SW, LA  '
 16   -89.95667    29.26333   86608   2.40  '8761724 Grand Isle, LA      '
 17   -90.19833    29.11333   42129   2.01  '8762075 Port Fourchon, LA   '
 18   -91.33667    29.44833  126127   2.01  '8764227 Lawma, Amerada, LA  '
 19   -91.88000    29.71333  145382   2.01  '8765251 Cypremort Pt, LA    '
 20   -92.30500    29.55500   83013   2.82  '8766072 Freshwater Canal, LA'
 21   -93.34167    29.76667  170934   2.01  '8768094 Calcasieu, LA       '
 22   -93.87000    29.73000  193999   5.93  '8770570 Sabine Pass N, TX   '
 23   -94.98500    29.68167  277435   3.05  '8770613 Morgans Pt, TX      '
 24   -95.09000    29.75667  292977   6.99  '8770743 Battleship Park, TX '
 25   -95.06667    29.56333  276953   1.40  '8770933 Clear Lake, TX      '
 26   -94.51334    29.51500  167524   0.46  '8770971 Rollover Pass, TX   '
 27   -94.91833    29.48000  261021   1.12  '8771013 Eagle Pt, TX        '
 28   -94.79333    29.31000  209938   9.23  '8771450 Galvest Pier 21, TX '
 29   -94.78833    29.28500  106590   2.68  '8771510 Galvest Pl Pier, TX '
 30   -95.30167    28.94333   58023   2.82  '8772447 USCG Freeport, TX   '
 31   -96.38834    28.45167   75800   3.25  '8773701 Port Oconnor, TX    '
 32   -97.07333    27.83833   52998   2.01  '8775237 Port Aransas, TX    '
 33   -97.21667    27.58000   29696   2.33  '8775870 Corpus Christi, TX  '
 34   -97.17667    26.07667   33821   1.56  '8779748 S. Padre Is, TX     '
 35   -94.91833    28.98167   38460  18.94  'TABSV_B TABS Buoy B, TX     '
 36   -96.84333    27.94000   14938  16.18  'TABSV_D TABS Buoy D, TX     '
 37   -94.24167    28.84333    9581  24.08  'TABSV_F TABS Buoy F, TX     '
 38   -96.54333    27.86833    4852  32.59  'TABSV_H TABS Buoy H, TX     '
 39   -97.05000    26.19167    5320  22.26  'TABSV_J TABS Buoy J, TX     '
 40   -96.50000    26.21667     518 226.95  'TABSV_K TABS Buoy K, TX     '
 41   -94.03667    27.89000     331 234.36  'TABSV_N TABS Buoy N, TX     '
 42   -93.64167    29.63500  101580  10.06  'TABSV_R TABS Buoy R, TX     '
 43   -93.59666    27.89667     569 162.80  'TABSV_V TABS Buoy V, TX     '
 44   -96.00500    28.35000   13033  22.46  'TABSV_W TABS Buoy W, TX     '
 45   -88.07000    30.13000   59348  16.97  'mb0101c MB Buoy M, AL       '
 46   -88.04278    30.72167  291230   8.55  'mb0301c MB St Pier E, AL    '
 47   -88.03167    30.66500  276755  11.37  'mb0401c MB Cont term, AL    '
 48   -88.53000    30.18833   73778  11.26  'ps0101c Pascagoa, LB8, MS   '
 49   -88.50000    30.21000   77086   5.95  'ps0201c Pascaga, LB17, MS   '
 50   -88.56406    30.35978  193385   7.85  'ps0301c Pasc NG Pier, MS    '
 51   -88.52167    30.19500   75422   9.83  'ps0401c Pasc HA, LB10, MS   '
 52   -88.98833    30.19500  134235   9.07  'gp0101c Gulfport, LB22, MS  '
 53   -88.99500    30.21667  144320   7.79  'gp0201c Gulfport, LB26, MS  '
 54   -89.00000    30.23943  154494   6.54  'gp0301c Day Marker 32, MS   '
 55   -89.08667    30.34833  203409   4.28  'gp0401c GP Harbor WP, MS    '
 56   -93.33420    29.69310  120045  10.82  'lc0101c Lake Calcas, LA     '
 57   -93.34290    29.76410  168683  12.99  'lc0201c Cameron Fis, LA     '
 58   -93.24940    30.21780  297718  11.32  'lc0301c L Chal CTY, LA      '
 59   -93.80666    29.63000  125777   8.02  'sn0101c Sabin LBB 34, LA    '
 60   -93.87000    29.72833  193103   7.94  'sn0201c USCG Sabin, LA      '
 61   -94.08667    30.08000  298542  10.50  'sn0601c Port Beaumont, TX   '
 62   -94.77700    29.34200  193950   8.45  'g01010c Bolivar Roads, TX   '
 63   -94.98167    29.68167  276580  12.74  'g02010c Morgans Pt, TX      '
 64   -94.78333    29.35167  196575  11.58  'g04010c Hou Ship Ent, TX    '
 65   -94.88500    29.29833  201478   3.32  'g05010c Galves Cause, TX    '
 66   -94.74333    29.34167  169753  11.19  'g06010c Galves Ent, TX      '
 67   -89.08667    30.34667  202562   4.28  '8745651 West Pier, MS       '
 68   -88.98000    30.23000  154499   6.22  '8744707 GP Outer Range, MS  '
 69   -88.02500    30.22833  121227   5.28  '8734673 Fort Morgan, AL     '
 70   -88.56667    30.35500  185476  10.90  '8741501 Dock C, MS          '
 71   -88.50000    30.21333   82082   5.76  '8741003 Petit Bois, MS      '
 72   -88.51167    30.34333  169149   6.42  '8741094 Rear Range, MS      '
 73   -94.72334    29.35667  165173   6.56  '8771341 GB North Jty, TX    '
 74   -93.83667    29.67667  164034   7.70  '8770822 Texas Point, TX     '
 75   -95.35333    27.91333     548 160.90  '42019_B LLNR 1205, TX       '
 76   -96.69500    26.96667    1416  88.10  '42020_B LLNR 1330, TX       '
 77   -97.05000    27.82833   31076   5.93  'PTAT2_C Port Aransas, TX    '
 78   -94.41333    29.23167   48357  15.80  '42035_B 22NM E GB, TX       '
